"";"Item";"ICIV";"CVR";"clarity"
"1";"item1_app_ICVI";0,444444444444444;-0,333333333333333;2,55555555555556
"2";"item2_app_ICVI";0,444444444444444;-0,333333333333333;2,11111111111111
"3";"item3_app_ICVI";0,777777777777778;0,555555555555556;2,66666666666667
"4";"item4_app_ICVI";0,666666666666667;0,333333333333333;2,44444444444444
"5";"item5_app_ICVI";0,333333333333333;-0,555555555555556;2,22222222222222
"6";"item6_app_ICVI";0,666666666666667;-0,111111111111111;2,77777777777778
"7";"item7_app_ICVI";0,222222222222222;-0,777777777777778;2,44444444444444
"8";"item8_app_ICVI";0,555555555555556;-0,555555555555556;2,55555555555556
"9";"item9_app_ICVI";0,666666666666667;0,555555555555556;2,66666666666667
"10";"item10_app_ICVI";0,444444444444444;-0,555555555555556;2,11111111111111
"11";"item11_app_ICVI";0,888888888888889;0,333333333333333;2,88888888888889
"12";"item12_app_ICVI";0,777777777777778;0,111111111111111;2,55555555555556
"13";"item13_app_ICVI";0,888888888888889;0,111111111111111;2,66666666666667
"14";"item14_app_ICVI";0,777777777777778;0,333333333333333;2,77777777777778
"15";"item15_app_ICVI";0,444444444444444;-0,333333333333333;2,33333333333333
"16";"item16_app_ICVI";0,333333333333333;-0,555555555555556;2
"17";"item17_app_ICVI";0,333333333333333;-0,555555555555556;2,66666666666667
"18";"item18_app_ICVI";0,666666666666667;-0,111111111111111;2,77777777777778
"19";"item19_app_ICVI";0,666666666666667;0,333333333333333;2,55555555555556
"20";"item20_app_ICVI";0,555555555555556;-0,111111111111111;2,11111111111111
"21";"item21_app_ICVI";0,222222222222222;-0,555555555555556;2,55555555555556
"22";"item22_app_ICVI";0,555555555555556;0,111111111111111;2,55555555555556
"23";"item1_avoid_ICVI";1;0,148148148148148;2,55555555555556
"24";"item2_avoid_ICVI";1;0,222222222222222;2,77777777777778
"25";"item3_avoid_ICVI";0,222222222222222;0,0246913580246914;1,77777777777778
"26";"item4_avoid_ICVI";0,444444444444444;0,0740740740740741;2,22222222222222
"27";"item5_avoid_ICVI";1;0,172839506172839;2,77777777777778
"28";"item6_avoid_ICVI";0,888888888888889;0,197530864197531;2,66666666666667
"29";"item7_avoid_ICVI";0,888888888888889;0,148148148148148;2,66666666666667
"30";"item8_avoid_ICVI";0,888888888888889;0,172839506172839;2,66666666666667
"31";"item9_avoid_ICVI";0,666666666666667;0,148148148148148;2,33333333333333
"32";"item10_avoid_ICVI";0,333333333333333;0,0246913580246914;2,11111111111111
"33";"item11_avoid_ICVI";0,777777777777778;0,123456790123457;2,66666666666667
"34";"item12_avoid_ICVI";0,888888888888889;0,0987654320987654;2,77777777777778
"35";"item13_avoid_ICVI";0,666666666666667;0,0987654320987654;2,66666666666667
"36";"item14_avoid_ICVI";0,444444444444444;0,0740740740740741;2,33333333333333
"37";"item15_avoid_ICVI";0,888888888888889;0,172839506172839;2,77777777777778
"38";"item16_avoid_ICVI";0,222222222222222;0,0246913580246914;2,66666666666667
"39";"item17_avoid_ICVI";0,333333333333333;0,0493827160493827;2,22222222222222
"40";"item18_avoid_ICVI";0,777777777777778;0,148148148148148;2,55555555555556
"41";"item19_avoid_ICVI";0,333333333333333;0,0740740740740741;2,33333333333333
"42";"item20_avoid_ICVI";0,333333333333333;0,0740740740740741;2,77777777777778
"43";"item21_avoid_ICVI";0,444444444444444;0,0987654320987654;2,66666666666667
"44";"item22_avoid_ICVI";0,333333333333333;0,0740740740740741;2,55555555555556
